date,smirk_norm_30d,dte_used_30d,smirk_norm_30d_z,ret_mtf,signal,correct
2008-06-02,,,,-0.01115107913669073,NO_TRADE,
2008-06-03,,,,0.006590992310508961,NO_TRADE,
2008-06-09,0.014633107085787751,40.0,,0.049079754601226974,NO_TRADE,
2008-06-10,0.03686464018193428,39.0,0.7071067811865476,0.04230907135173896,PUT,0.0
2008-06-16,0.03413856886092879,33.0,0.4612781507954876,-0.0241963359834082,NO_TRADE,
2008-06-17,0.02273920297095695,32.0,-0.42208221769667936,-0.019791666666666676,NO_TRADE,
2008-06-23,0.042829169636492206,26.0,1.0311047527343185,-0.012155881301394347,PUT,1.0
2008-06-24,0.03887455746279478,25.0,0.48632260969434277,-0.003606202668590026,NO_TRADE,
2008-06-30,,,,-0.055616139585605275,NO_TRADE,
2008-07-01,,,,-0.03312244138444364,NO_TRADE,
2008-07-07,0.023768504288163187,40.0,-0.7071067811865476,-0.029965424510180604,NO_TRADE,
2008-07-08,0.01839928673336553,39.0,-0.7071067811865515,-0.023210831721470072,NO_TRADE,
2008-07-14,0.02182077519702444,33.0,0.1807333549709542,0.028230616302186914,NO_TRADE,
2008-07-15,0.021646039261133173,32.0,0.10669296373426741,-0.01108986615678773,NO_TRADE,
2008-07-21,0.08098742462032632,26.0,1.4979662149705866,0.02028081123244928,PUT,0.0
2008-07-22,0.011615353401535123,25.0,-0.7072555379483559,0.013953488372093,NO_TRADE,
2008-07-28,,,,-0.002352941176470538,NO_TRADE,
2008-07-29,,,,-0.02566066641133658,NO_TRADE,
2008-08-04,,,,0.1127373417721518,NO_TRADE,
2008-08-05,,,,0.07325448302174735,NO_TRADE,
2008-08-11,0.1184410853461538,40.0,,-0.0032258064516128985,NO_TRADE,
2008-08-12,0.08983445461737774,39.0,-0.7071067811865475,-0.011024182076813736,NO_TRADE,
2008-08-18,0.12425864926526368,33.0,0.7279701583379775,0.00541711809317438,PUT,0.0
2008-08-19,-0.025812525808411438,32.0,-1.4649088624399311,0.019033674963396762,CALL,1.0
2008-08-25,0.12272032354929217,26.0,0.6347764209577234,-0.013376717281272632,PUT,1.0
2008-08-26,0.01981799535755468,25.0,-0.5364072317894457,0.0007334066740007178,NO_TRADE,
2008-09-02,,,,-0.053505535055350655,NO_TRADE,
2008-09-08,0.029704591516572038,40.0,-0.4880851187263346,0.05742725880551301,NO_TRADE,
2008-09-09,0.01988064920622048,39.0,-0.5718359360162866,0.05823754789272029,NO_TRADE,
2008-09-15,0.08098536236428105,33.0,1.1416891812166845,-0.06189410887397465,PUT,1.0
2008-09-16,0.06832852215968262,32.0,0.630146305642987,-0.03193535975375138,PUT,1.0
2008-09-22,0.05011640625292827,26.0,-0.17764951600558632,0.07874015748031496,NO_TRADE,
2008-09-23,0.013136151530177121,25.0,-1.3548838747135283,0.07704402515723259,CALL,1.0
2008-09-29,,,,0.052379048380647684,NO_TRADE,
2008-09-30,,,,-0.013862869988759872,NO_TRADE,
2008-10-06,,,,-0.13689281413087115,NO_TRADE,
2008-10-07,,,,-0.07447266465777014,NO_TRADE,
2008-10-13,0.1349951769169954,40.0,,-0.06156862745098041,NO_TRADE,
2008-10-14,0.11808471888422453,39.0,-0.7071067811865475,-0.007053941908713763,NO_TRADE,
2008-10-20,0.1886662130440965,33.0,1.1238965703798436,-0.11165048543689313,PUT,1.0
2008-10-21,0.11502917745128025,32.0,-0.7080076033578404,-0.05993150684931501,NO_TRADE,
2008-10-27,0.12995185940927748,26.0,-0.23181331256274926,0.054296506137865845,NO_TRADE,
2008-10-28,0.12950275723790663,25.0,-0.3454899185517856,-0.033333333333333465,NO_TRADE,
2008-11-03,,,,-0.04951370468611852,NO_TRADE,
2008-11-04,,,,-0.08627284317892057,NO_TRADE,
2008-11-10,0.11328961010118913,40.0,-0.7071067811865394,-0.05821596244131465,NO_TRADE,
2008-11-11,0.16254096411325364,39.0,0.7071067811865476,-0.05377358490566041,PUT,1.0
2008-11-17,0.07988827263570708,33.0,-0.9303927683753748,0.018633540372670777,NO_TRADE,
2008-11-18,0.06531741145037699,32.0,-0.9257335910999264,0.0030581039755351027,NO_TRADE,
2008-11-24,0.07452898089885626,26.0,-0.4670172463392299,-0.02271628806186575,NO_TRADE,
2008-11-25,0.05556103901163688,25.0,-1.2400688251704826,0.01150575287643824,NO_TRADE,
2008-12-01,,,,0.06770553465878569,NO_TRADE,
2008-12-02,,,,0.037597911227154175,NO_TRADE,
2008-12-08,0.07878682157789908,40.0,0.7071067811865462,-0.07853403141361266,PUT,1.0
2008-12-09,0.037817552243740685,39.0,-0.7071067811865464,-0.06019417475728164,NO_TRADE,
2008-12-15,0.054611996935461725,33.0,-0.11945185679875936,0.0042016806722690045,NO_TRADE,
2008-12-16,0.08103903431608392,32.0,0.8705162219964939,-0.049229239184485254,PUT,1.0
2008-12-22,0.07974550718504538,26.0,0.7868375781354278,-0.0026068821689260017,PUT,1.0
2008-12-23,-0.0178294408269694,25.0,-1.4476172850200688,-0.0077800829875519775,CALL,0.0
